x1,x2,x3,x4,x5,x6,x7,math
-3.0,2.0,27.0,20.0,4.0,4.0,2.0,103.0
14.0,4.0,28.0,16.0,4.0,-1.0,-1.0,117.0
10.0,1.0,28.0,18.0,3.0,0.0,1.0,111.0
-5.0,11.0,27.0,19.0,10.0,9.0,6.0,117.0
-2.0,-9.0,22.0,14.0,6.0,5.0,2.0,122.0
-3.0,0.0,27.0,19.0,6.0,5.0,4.0,110.0
-9.0,-6.0,18.0,12.0,2.0,-1.0,-1.0,105.0
11.0,7.0,29.0,16.0,2.0,-1.0,-1.0,105.0
10.0,5.0,26.0,16.0,1.0,0.0,-2.0,116.0
-3.0,10.0,23.0,26.0,4.0,1.0,3.0,112.0
-4.0,-5.0,27.0,17.0,3.0,2.0,2.0,98.0
-11.0,-1.0,22.0,16.0,8.0,7.0,6.0,119.0
14.0,8.0,27.0,18.0,4.0,-1.0,-1.0,118.0
-2.0,5.0,27.0,19.0,4.0,7.0,5.0,117.0
-4.0,-9.0,27.0,17.0,2.0,1.0,2.0,93.0
19.0,13.0,28.0,17.0,3.0,-5.0,-3.0,111.0
-2.0,5.0,31.0,18.0,10.0,8.0,6.0,116.0
9.0,8.0,30.0,18.0,4.0,1.0,4.0,111.0
-1.0,-12.0,25.0,15.0,4.0,-1.0,1.0,97.0
-6.0,-10.0,28.0,19.0,6.0,1.0,3.0,95.0
-2.0,-9.0,25.0,15.0,-2.0,-3.0,-2.0,90.0
-5.0,5.0,22.0,26.0,4.0,2.0,2.0,111.0
15.0,3.0,27.0,16.0,5.0,1.0,1.0,124.0
8.0,3.0,27.0,18.0,5.0,2.0,0.0,119.0
10.0,3.0,28.0,19.0,1.0,-1.0,0.0,107.0
19.0,9.0,29.0,18.0,4.0,-2.0,-2.0,119.0
-3.0,8.0,31.0,21.0,10.0,7.0,2.0,102.0
-7.0,7.0,32.0,23.0,5.0,4.0,4.0,90.0
1.0,1.0,8.0,7.0,1.0,0.0,0.0,146.0
16.0,12.0,27.0,17.0,2.0,-3.0,-3.0,116.0
12.0,7.0,28.0,17.0,3.0,2.0,2.0,119.0
-4.0,1.0,30.0,21.0,6.0,5.0,4.0,99.0
14.0,5.0,30.0,19.0,5.0,-1.0,-0.0,112.0
14.0,6.0,28.0,18.0,5.0,-1.0,1.0,115.0
12.0,3.0,28.0,19.0,3.0,0.0,-0.0,114.0
11.0,2.0,28.0,15.0,1.0,-1.0,-1.0,103.0
18.0,2.0,24.0,15.0,-2.0,-6.0,-3.0,111.0
-1.0,-6.0,27.0,17.0,2.0,1.0,2.0,99.0
13.0,6.0,27.0,18.0,5.0,2.0,-0.0,123.0
2.0,1.0,27.0,16.0,4.0,-4.0,-1.0,92.0
0.0,-3.0,27.0,17.0,1.0,-1.0,3.0,98.0
-2.0,2.0,26.0,19.0,6.0,6.0,5.0,121.0
11.0,4.0,29.0,18.0,3.0,1.0,-0.0,114.0
11.0,5.0,27.0,16.0,4.0,1.0,2.0,116.0
11.0,6.0,28.0,18.0,5.0,-0.0,-0.0,110.0
-2.0,5.0,23.0,15.0,2.0,2.0,3.0,111.0
9.0,12.0,29.0,18.0,7.0,1.0,1.0,114.0
-4.0,13.0,34.0,24.0,11.0,9.0,6.0,107.0
13.0,7.0,30.0,17.0,5.0,-1.0,1.0,115.0
-3.0,-10.0,26.0,18.0,5.0,4.0,3.0,108.0
9.0,2.0,27.0,15.0,2.0,0.0,1.0,113.0
-3.0,2.0,34.0,21.0,8.0,2.0,1.0,89.0
10.0,5.0,30.0,21.0,-0.0,-1.0,1.0,100.0
-4.0,-0.0,28.0,20.0,6.0,6.0,5.0,110.0
-3.0,-12.0,23.0,16.0,1.0,-1.0,-1.0,100.0
-2.0,-0.0,28.0,19.0,8.0,4.0,4.0,111.0
10.0,12.0,26.0,17.0,3.0,1.0,-1.0,118.0
11.0,13.0,25.0,17.0,0.0,0.0,1.0,117.0
10.0,3.0,28.0,19.0,4.0,1.0,1.0,114.0
13.0,7.0,28.0,19.0,3.0,-0.0,2.0,120.0
-1.0,-5.0,23.0,17.0,4.0,-0.0,2.0,110.0
-2.0,-1.0,20.0,20.0,-0.0,-2.0,-0.0,109.0
13.0,3.0,29.0,19.0,6.0,0.0,0.0,115.0
11.0,7.0,29.0,18.0,4.0,-2.0,1.0,108.0
-2.0,-10.0,23.0,17.0,1.0,-1.0,-1.0,105.0
10.0,4.0,29.0,19.0,5.0,1.0,1.0,113.0
-1.0,-10.0,27.0,18.0,5.0,-0.0,-1.0,99.0
11.0,5.0,30.0,17.0,6.0,0.0,0.0,110.0
12.0,7.0,26.0,18.0,2.0,-0.0,0.0,116.0
11.0,2.0,29.0,18.0,4.0,1.0,-0.0,112.0
11.0,6.0,29.0,19.0,5.0,1.0,0.0,114.0
10.0,1.0,28.0,18.0,5.0,1.0,0.0,116.0
-2.0,4.0,21.0,20.0,5.0,3.0,-0.0,122.0
-2.0,3.0,31.0,19.0,6.0,6.0,4.0,105.0
-3.0,2.0,23.0,11.0,-2.0,-4.0,0.0,94.0
10.0,1.0,27.0,18.0,3.0,-0.0,-1.0,113.0
-3.0,-9.0,25.0,14.0,2.0,1.0,-0.0,97.0
10.0,0.0,23.0,16.0,3.0,2.0,0.0,125.0
-5.0,-4.0,27.0,19.0,4.0,2.0,5.0,98.0
-6.0,15.0,31.0,22.0,9.0,7.0,5.0,104.0
-0.0,-12.0,27.0,20.0,-0.0,-5.0,-1.0,85.0
13.0,-0.0,26.0,17.0,-1.0,-1.0,0.0,114.0
-4.0,-12.0,26.0,16.0,6.0,2.0,3.0,103.0
-2.0,5.0,30.0,20.0,6.0,5.0,3.0,102.0
9.0,1.0,27.0,17.0,7.0,2.0,-0.0,120.0
9.0,0.0,30.0,20.0,3.0,1.0,1.0,106.0
9.0,8.0,28.0,16.0,7.0,1.0,-0.0,119.0
-4.0,3.0,29.0,19.0,7.0,6.0,5.0,107.0
-4.0,-0.0,27.0,17.0,8.0,8.0,5.0,118.0
-2.0,-8.0,21.0,16.0,4.0,-1.0,0.0,113.0
11.0,8.0,27.0,16.0,6.0,2.0,-0.0,121.0
-1.0,-5.0,26.0,18.0,-1.0,-1.0,1.0,96.0
-0.0,-4.0,26.0,17.0,6.0,1.0,0.0,106.0
-3.0,-11.0,25.0,14.0,1.0,-2.0,-1.0,95.0
9.0,1.0,25.0,17.0,3.0,1.0,-1.0,115.0
-2.0,-0.0,22.0,25.0,-1.0,-1.0,1.0,105.0
12.0,6.0,29.0,18.0,5.0,-2.0,-2.0,107.0
-3.0,11.0,29.0,19.0,7.0,7.0,4.0,112.0
14.0,5.0,29.0,19.0,5.0,-2.0,-1.0,110.0
10.0,-0.0,23.0,15.0,2.0,1.0,1.0,124.0
-0.0,-1.0,19.0,20.0,4.0,1.0,1.0,123.0
13.0,2.0,27.0,18.0,3.0,1.0,1.0,120.0
13.0,11.0,29.0,19.0,4.0,-0.0,-1.0,113.0
